,country,state,county,city,google,apple
418,US,Idaho,Benewah County,N/A,1,0
419,US,Idaho,Bingham County,N/A,1,0
420,US,Idaho,Blaine County,N/A,1,0
421,US,Idaho,Boise County,N/A,1,0
422,US,Idaho,Bonner County,N/A,1,0
423,US,Idaho,Bonneville County,N/A,1,0
424,US,Idaho,Boundary County,N/A,1,0
425,US,Idaho,Canyon County,N/A,1,0
426,US,Idaho,Caribou County,N/A,1,0
427,US,Idaho,Cassia County,N/A,1,0
428,US,Idaho,Clearwater County,N/A,1,0
429,US,Idaho,Gem County,N/A,1,0
430,US,Idaho,Gooding County,N/A,1,0
431,US,Idaho,Idaho County,N/A,1,0
432,US,Idaho,Jerome County,N/A,1,0
433,US,Idaho,Kootenai County,N/A,1,0
434,US,Idaho,Latah County,N/A,1,0
435,US,Idaho,Lemhi County,N/A,1,0
436,US,Idaho,Minidoka County,N/A,1,0
437,US,Idaho,Nez Perce County,N/A,1,0
438,US,Idaho,Oneida County,N/A,1,0
439,US,Idaho,Owyhee County,N/A,1,0
440,US,Idaho,Payette County,N/A,1,0
441,US,Idaho,Power County,N/A,1,0
442,US,Idaho,Shoshone County,N/A,1,0
443,US,Idaho,Teton County,N/A,1,0
444,US,Idaho,Twin Falls County,N/A,1,0
445,US,Idaho,Valley County,N/A,1,0
446,US,Illinois,Alexander County,N/A,1,0
447,US,Illinois,Bond County,N/A,1,0
448,US,Illinois,Bureau County,N/A,1,0
449,US,Illinois,Cass County,N/A,1,0
450,US,Illinois,Champaign County,N/A,1,0
451,US,Illinois,Christian County,N/A,1,0
452,US,Illinois,Clinton County,N/A,1,0
453,US,Illinois,Coles County,N/A,1,0
454,US,Illinois,Cumberland County,N/A,1,0
455,US,Illinois,De Witt County,N/A,1,0
456,US,Illinois,DuPage County,N/A,1,0
457,US,Illinois,Edgar County,N/A,1,0
458,US,Illinois,Edwards County,N/A,1,0
459,US,Illinois,Ford County,N/A,1,0
460,US,Illinois,Gallatin County,N/A,1,0
461,US,Illinois,Grundy County,N/A,1,0
462,US,Illinois,Henderson County,N/A,1,0
463,US,Illinois,Iroquois County,N/A,1,0
464,US,Illinois,Jersey County,N/A,1,0
465,US,Illinois,Jo Daviess County,N/A,1,0
466,US,Illinois,Kane County,N/A,1,0
467,US,Illinois,Kankakee County,N/A,1,0
468,US,Illinois,Kendall County,N/A,1,0
469,US,Illinois,Knox County,N/A,1,0
470,US,Illinois,LaSalle County,N/A,1,0
471,US,Illinois,Livingston County,N/A,1,0
472,US,Illinois,Macoupin County,N/A,1,0
473,US,Illinois,Mason County,N/A,1,0
474,US,Illinois,Massac County,N/A,1,0
475,US,Illinois,McDonough County,N/A,1,0
476,US,Illinois,McHenry County,N/A,1,0
477,US,Illinois,McLean County,N/A,1,0
478,US,Illinois,Menard County,N/A,1,0
479,US,Illinois,Mercer County,N/A,1,0
480,US,Illinois,Moultrie County,N/A,1,0
481,US,Illinois,Ogle County,N/A,1,0
482,US,Illinois,Peoria County,N/A,1,0
483,US,Illinois,Piatt County,N/A,1,0
484,US,Illinois,Richland County,N/A,1,0
485,US,Illinois,Rock Island County,N/A,1,0
486,US,Illinois,Sangamon County,N/A,1,0
487,US,Illinois,Schuyler County,N/A,1,0
488,US,Illinois,Stark County,N/A,1,0
489,US,Illinois,Stephenson County,N/A,1,0
490,US,Illinois,Tazewell County,N/A,1,0
491,US,Illinois,Vermilion County,N/A,1,0
492,US,Illinois,Wabash County,N/A,1,0
493,US,Illinois,Whiteside County,N/A,1,0
494,US,Illinois,Will County,N/A,1,0
495,US,Illinois,Williamson County,N/A,1,0
496,US,Illinois,Winnebago County,N/A,1,0
497,US,Illinois,Woodford County,N/A,1,0
498,US,Indiana,Allen County,N/A,1,0
499,US,Indiana,Bartholomew County,N/A,1,0
500,US,Indiana,Blackford County,N/A,1,0
501,US,Indiana,Brown County,N/A,1,0
502,US,Indiana,Daviess County,N/A,1,0
503,US,Indiana,Dearborn County,N/A,1,0
504,US,Indiana,Delaware County,N/A,1,0
505,US,Indiana,Dubois County,N/A,1,0
506,US,Indiana,Elkhart County,N/A,1,0
507,US,Indiana,Fountain County,N/A,1,0
508,US,Indiana,Gibson County,N/A,1,0
509,US,Indiana,Harrison County,N/A,1,0
510,US,Indiana,Hendricks County,N/A,1,0
511,US,Indiana,Huntington County,N/A,1,0
512,US,Indiana,Jay County,N/A,1,0
513,US,Indiana,Jennings County,N/A,1,0
514,US,Indiana,Kosciusko County,N/A,1,0
515,US,Indiana,LaGrange County,N/A,1,0
516,US,Indiana,LaPorte County,N/A,1,0
517,US,Indiana,Miami County,N/A,1,0
518,US,Indiana,Noble County,N/A,1,0
519,US,Indiana,Ohio County,N/A,1,0
520,US,Indiana,Owen County,N/A,1,0
521,US,Indiana,Parke County,N/A,1,0
522,US,Indiana,Porter County,N/A,1,0
523,US,Indiana,Posey County,N/A,1,0
524,US,Indiana,Ripley County,N/A,1,0
525,US,Indiana,Rush County,N/A,1,0
526,US,Indiana,Spencer County,N/A,1,0
527,US,Indiana,St. Joseph County,N/A,1,0
528,US,Indiana,Starke County,N/A,1,0
529,US,Indiana,Steuben County,N/A,1,0
530,US,Indiana,Sullivan County,N/A,1,0
531,US,Indiana,Switzerland County,N/A,1,0
532,US,Indiana,Tippecanoe County,N/A,1,0
533,US,Indiana,Tipton County,N/A,1,0
534,US,Indiana,Vanderburgh County,N/A,1,0
535,US,Indiana,Vermillion County,N/A,1,0
536,US,Indiana,Vigo County,N/A,1,0
537,US,Indiana,Warrick County,N/A,1,0
538,US,Indiana,Wells County,N/A,1,0
539,US,Indiana,Whitley County,N/A,1,0
540,US,Iowa,Adair County,N/A,1,0
541,US,Iowa,Allamakee County,N/A,1,0
542,US,Iowa,Appanoose County,N/A,1,0
543,US,Iowa,Audubon County,N/A,1,0
544,US,Iowa,Black Hawk County,N/A,1,0
545,US,Iowa,Bremer County,N/A,1,0
546,US,Iowa,Buchanan County,N/A,1,0
547,US,Iowa,Buena Vista County,N/A,1,0
548,US,Iowa,Cedar County,N/A,1,0
549,US,Iowa,Cerro Gordo County,N/A,1,0
550,US,Iowa,Chickasaw County,N/A,1,0
551,US,Iowa,Davis County,N/A,1,0
552,US,Iowa,Des Moines County,N/A,1,0
553,US,Iowa,Dickinson County,N/A,1,0
554,US,Iowa,Dubuque County,N/A,1,0
555,US,Iowa,Emmet County,N/A,1,0
556,US,Iowa,Guthrie County,N/A,1,0
557,US,Iowa,Hardin County,N/A,1,0
558,US,Iowa,Ida County,N/A,1,0
559,US,Iowa,Iowa County,N/A,1,0
560,US,Iowa,Keokuk County,N/A,1,0
561,US,Iowa,Kossuth County,N/A,1,0
562,US,Iowa,Linn County,N/A,1,0
563,US,Iowa,Louisa County,N/A,1,0
564,US,Iowa,Lucas County,Toledo,1,1
565,US,Iowa,Lyon County,N/A,1,0
566,US,Iowa,Mahaska County,N/A,1,0
567,US,Iowa,Mills County,N/A,1,0
568,US,Iowa,Monona County,N/A,1,0
569,US,Iowa,Muscatine County,N/A,1,0
570,US,Iowa,O'Brien County,N/A,1,0
571,US,Iowa,Page County,N/A,1,0
572,US,Iowa,Palo Alto County,N/A,1,0
573,US,Iowa,Plymouth County,N/A,1,0
574,US,Iowa,Pocahontas County,N/A,1,0
575,US,Iowa,Pottawattamie County,N/A,1,0
576,US,Iowa,Poweshiek County,N/A,1,0
577,US,Iowa,Sac County,N/A,1,0
578,US,Iowa,Sioux County,N/A,1,0
579,US,Iowa,Story County,N/A,1,0
580,US,Iowa,Tama County,N/A,1,0
581,US,Iowa,Wapello County,N/A,1,0
582,US,Iowa,Webster County,N/A,1,0
583,US,Iowa,Winneshiek County,N/A,1,0
584,US,Iowa,Woodbury County,N/A,1,0
585,US,Iowa,Wright County,N/A,1,0
586,US,Kansas,Anderson County,N/A,1,0
587,US,Kansas,Atchison County,N/A,1,0
588,US,Kansas,Barton County,N/A,1,0
589,US,Kansas,Bourbon County,N/A,1,0
590,US,Kansas,Cloud County,N/A,1,0
591,US,Kansas,Coffey County,N/A,1,0
592,US,Kansas,Cowley County,N/A,1,0
593,US,Kansas,Doniphan County,N/A,1,0
594,US,Kansas,Ellis County,N/A,1,0
595,US,Kansas,Ellsworth County,N/A,1,0
596,US,Kansas,Finney County,N/A,1,0
597,US,Kansas,Geary County,N/A,1,0
598,US,Kansas,Greenwood County,N/A,1,0
599,US,Kansas,Harper County,N/A,1,0
600,US,Kansas,Harvey County,N/A,1,0
